출발역코드,출발역명,도착역코드,도착역명,거리(km),수도권내(km),수도권외(km),공항철도(km),공항철도2(km),어른운임(원),정기권단계,서울전용여부
309,지축3,1001,서울,16.1,16.1,0,0,0,1450,1,Y
309,지축3,1002,남영,17.8,17.8,0,0,0,1450,1,Y
309,지축3,1003,용산,17.4,17.4,0,0,0,1450,1,Y
309,지축3,1004,노량진,18.6,18.6,0,0,0,1450,1,Y
309,지축3,1005,대방,18.1,18.1,0,0,0,1450,1,Y
309,지축3,1006,영등포,18.3,18.3,0,0,0,1450,1,Y
309,지축3,1007,신도림,17.4,17.4,0,0,0,1450,1,Y
309,지축3,1032,신길,17.3,17.3,0,0,0,1450,1,Y
309,지축3,1701,구로,18.5,18.5,0,0,0,1450,1,Y
309,지축3,1702,가산디지털단지,20.9,20.9,0,0,0,1550,2,Y
309,지축3,1703,금천구청,24.1,24.1,0,0,0,1550,2,Y
309,지축3,1704,석수,26.4,26.4,0,0,0,1650,3,N
309,지축3,1705,관악,28.3,28.3,0,0,0,1650,3,N
309,지축3,1706,안양,30.7,30.7,0,0,0,1750,4,N
309,지축3,1707,명학,32.9,32.9,0,0,0,1750,4,N
309,지축3,1708,금정,34.3,34.3,0,0,0,1750,4,N
309,지축3,1709,군포,36.5,36.5,0,0,0,1850,5,N
309,지축3,1710,의왕,40.7,40.7,0,0,0,1950,6,N
309,지축3,1711,성균관대,43.6,43.6,0,0,0,1950,6,N
309,지축3,1712,화서,46.2,46.2,0,0,0,2050,7,N
309,지축3,1713,수원,48.3,48.3,0,0,0,2050,7,N
309,지축3,1714,독산,22.9,22.9,0,0,0,1550,2,Y
309,지축3,1715,세류,51.2,51.2,0,0,0,2150,8,N
309,지축3,1716,병점,55.5,55.5,0,0,0,2150,8,N
309,지축3,1717,세마,57.9,57.9,0,0,0,2150,8,N
309,지축3,1718,오산대,60.6,60.6,0,0,0,2250,9,N
309,지축3,1719,오산,63.3,63.3,0,0,0,2250,9,N
309,지축3,1720,진위,67.3,67.3,0,0,0,2350,10,N
309,지축3,1721,송탄,71.1,71.1,0,0,0,2350,10,N
309,지축3,1722,서정리,73.3,73.3,0,0,0,2350,10,N
309,지축3,1723,지제,78.1,78.1,0,0,0,2450,11,N
309,지축3,1724,평택,81.8,81.8,0,0,0,2450,11,N
309,지축3,1725,성환,91.2,81.8,9.4,0,0,2750,14,N
309,지축3,1726,직산,96.6,81.8,14.8,0,0,2850,14,N
309,지축3,1727,두정,100.4,81.8,18.6,0,0,2950,14,N
309,지축3,1728,천안,103.4,81.8,21.6,0,0,3050,14,N
309,지축3,1729,당정,38.1,38.1,0,0,0,1850,5,N
309,지축3,1749,서동탄,57.7,57.7,0,0,0,2150,8,N
309,지축3,1750,광명,28.8,28.8,0,0,0,1650,3,N
309,지축3,1201,중랑,21.3,21.3,0,0,0,1550,2,Y
309,지축3,1202,상봉,22.1,22.1,0,0,0,1550,2,Y
309,지축3,1203,망우,22.7,22.7,0,0,0,1550,2,Y
309,지축3,1204,양원,24.4,24.4,0,0,0,1550,2,Y
309,지축3,1205,구리,27.6,27.6,0,0,0,1650,3,N
309,지축3,1206,도농,29.3,29.3,0,0,0,1650,3,N
309,지축3,1207,양정,33,33,0,0,0,1750,4,N
309,지축3,1208,덕소,35.3,35.3,0,0,0,1850,5,N
309,지축3,1209,도심,36.8,36.8,0,0,0,1850,5,N
309,지축3,1210,팔당,41,41,0,0,0,1950,6,N
309,지축3,1211,운길산,47.4,47.4,0,0,0,2050,7,N
